simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_two_k_one_beta,1,ms_two_k_one_beta,-401.1770932829,809.696540555661,0,0.999843,1,1
ms_two_k_one_beta,1,ms_two_k_one_beta_linear,-429.668829655094,854.413438309289,44.7168977536274,0,0,0
ms_two_k_one_beta,1,ms_two_k_one_beta_hyperbolic,-426.006853975647,863.732323010674,54.0357824550122,0,0,0
ms_two_k_one_beta,1,ms_two_k_two_beta,-404.496556043162,820.769512196563,11.0729716409018,0.000151,0,0
ms_two_k_one_beta,1,ms_two_k_two_beta_linear,-427.325838350488,858.403653510636,48.7071129549749,0,0,0
ms_two_k_one_beta,1,ms_two_k_two_beta_hyperbolic,-422.392007107755,868.379183471053,58.682642915392,6e-06,0,0
ms_two_k_one_beta,2,ms_two_k_one_beta,-477.689083928697,953.070554102106,0,0.999974,1,1
ms_two_k_one_beta,2,ms_two_k_one_beta_linear,-521.416961556336,1040.3826395205,87.3120854183943,0,0,0
ms_two_k_one_beta,2,ms_two_k_one_beta_hyperbolic,-529.155054845524,1064.86070288269,111.790148780579,0,0,0
ms_two_k_one_beta,2,ms_two_k_two_beta,-482.877076362367,972.903009968933,19.8324558668264,2.6e-05,0,0
ms_two_k_one_beta,2,ms_two_k_two_beta_linear,-520.702287323089,1049.18201837235,96.1114642702463,0,0,0
ms_two_k_one_beta,2,ms_two_k_two_beta_hyperbolic,-528.353390385784,1071.80503821059,118.73448410848,0,0,0
ms_two_k_one_beta,3,ms_two_k_one_beta,-459.444828603228,881.646721442684,0.181133589916953,0.993124,0,1
ms_two_k_one_beta,3,ms_two_k_one_beta_linear,-445.782218763552,893.289416641401,11.8238287886339,5.1e-05,0,0
ms_two_k_one_beta,3,ms_two_k_one_beta_hyperbolic,-449.05291973795,913.191143470278,31.7255556175111,2.1e-05,0,0
ms_two_k_one_beta,3,ms_two_k_two_beta,-459.267187238842,881.465587852767,0,0.006184,1,0
ms_two_k_one_beta,3,ms_two_k_two_beta_linear,-446.682693645494,906.203264489191,24.737676636424,6.9e-05,0,0
ms_two_k_one_beta,3,ms_two_k_two_beta_hyperbolic,-450.175332332322,926.395927758777,44.93033990601,0.000551,0,0
ms_two_k_one_beta,4,ms_two_k_one_beta,-410.20966579351,816.585825978884,0,0.739369,1,1
ms_two_k_one_beta,4,ms_two_k_one_beta_linear,-439.148025232246,871.931787798463,55.345961819579,0,0,0
ms_two_k_one_beta,4,ms_two_k_one_beta_hyperbolic,-434.770897441285,889.069868746613,72.4840427677287,5e-06,0,0
ms_two_k_one_beta,4,ms_two_k_two_beta,-411.119999533737,826.151884662658,9.56605868377312,0.260475,0,0
ms_two_k_one_beta,4,ms_two_k_two_beta_linear,-438.555008287681,879.041409031489,62.4555830526044,0,0,0
