PROLIFIC_PID,id,PID,date,timer_total,commitment,attention_01,attention_02,manip_check_01,manip_check_02,donation_decision,party,party_open,party_strength,party_closer,party_identity_strength_raw,party_identity_strength,party_preference,party_intensity,valence_democrats,valence_republicans,arousal_democrats,arousal_republicans,affpol_raw,affpol_weighted,bipartisan_support,social_polarization,ideology,democratic_support_raw,democratic_support,vote_election,vote_importance_raw,vote_importance,political_engagement_raw,political_engagement,health_general_raw,health_general,health_politics_raw,health_politics,stress_general_raw,stress_general,stress_politics_raw,stress_politics,depression_raw,depression,age,gender,gender_open,rururb01,rururb02,rururb02_open,rururb03,education,ethnicity01,ethnicity02,ethicity_open,income,bipartisanship_01,bipartisanship_02,friends_democrats,friends_republicans,dem_01,dem_02,dem_03,dem_04,dem_05,dem_06,dem_07,dem_01_r,dem_02_r,dem_03_r,dem_05_r,dem_06_r,dem_07_r,political_interest,political_discussion,political_follow,political_discussion_r,political_follow_r,health_politics_01,health_politics_02,health_politics_03,health_politics_04,health_politics_05,health_politics_06,health_politics_07,health_politics_08,health_politics_09,health_politics_10,PSS_01,PSS_02,PSS_03,PSS_04,PSS_05,PSS_06,PSS_07,PSS_08,PSS_09,PSS_10,PSS_04_r,PSS_05_r,PSS_07_r,PSS_08_r,depression_01,depression_02,depression_03,depression_04,depression_05,depression_06,depression_07,depression_08,max_boxes,easy50,easy65,hard80,hard95,work_total,work_voteall,work_voteurban,work_voterural,work_ingroup,work_outgroup,work_difference
1,R_1MbB3ouOD1xcJax,P25,24/10/2025 14:17,893,"Yes, I will",passed,passed,Republican,Both Democrats and Republicans,Keep,Republican,,Not very strong,NA,1,-2.04036765482465,Republican,1,65,65,50,50,-1.76788658149234,-1.39968707603147,0.967369645992113,-0.737693479381178,60,35,1.16161192887043,No,7,0.482476139550158,9,-0.348912396342627,5,1.41628400339539,48,1.57060592042302,0,-1.71018904032025,1,-0.639819685975378,1,-0.618806510736363,27,Man,,City,Suburb,,1,Postgraduate degree,White,NA,,"$100,000 to $149,999",100,100,100,100,1,1,1,5,1,1,1,5,5,5,5,5,5,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,20,26,32,38,2,0,1,1,1,1,0
10,R_6RmNZKskTtKpxV7,P211,24/10/2025 14:23,1114,"Yes, I will",passed,passed,Republican,Democrats,Keep,Democrat,,Strong,NA,3,-0.32368438716765,Democrat,2,95,0,62,86,1.38977077636559,1.60334832544312,0.631360415509011,-0.380190210242032,0,29,0.13137277766987,Yes,7,0.482476139550158,9,-0.348912396342627,4,0.148858679035552,25,-0.869868570300032,32,2.38636024088897,4,2.05828785771324,17,2.58474337329293,41,Woman,,Suburb,Small-town,,2,2-year college degree,Black or African-American,NA,,"$90,000 to $99,999",95,88,100,66,1,2,1,5,3,3,2,5,4,5,3,3,4,4,3,2,2,3,5,4,4,4,4,3,2,3,2,4,2,3,4,1,0,2,1,0,3,4,3,4,3,4,2,3,2,2,2,3,3,0,23,12,15,18,22,15,6,7,2,7,2,5
100,R_7rVsweUv0BpIznm,P295,24/10/2025 14:54,1629,"Yes, I will",passed,passed,Republican,Democrats,Donate,Democrat,,Not very strong,NA,4,0.53465724666085,Democrat,1,91,16,80,10,0.725000806290234,-0.179128077520742,-0.515024017903926,-0.626051022496029,11,28,-0.0403337475302235,Yes,6,-0.58254526479019,5,-2.14936077920155,5,1.41628400339539,37,0.403422468338082,13,-0.0459658948290045,1,-0.639819685975378,4,-0.0181409074808704,30,Woman,,City,City,,3,4-year college degree,White,NA,,"$70,000 to $79,999",65,60,90,71,1,3,2,4,3,2,1,5,3,4,3,4,5,2,4,3,1,2,1,2,3,2,3,2,3,2,4,1,2,2,2,4,3,1,3,3,2,1,0,1,1,1,1,1,0,1,0,0,1,0,15,8,10,12,14,19,9,8,2,8,2,6
101,R_1Wvf1gIUG9QBK2J,P35,24/10/2025 14:55,1218,"Yes, I will",passed,passed,Republican,Both Democrats and Republicans,Donate,Republican,,Strong,NA,4,0.53465724666085,Republican,2,5,93,13,93,1.15710128683921,0.206704115944882,0.591829917805116,-0.192160809172308,94,34,0.989905403670338,Yes,7,0.482476139550158,6,-1.69924868348682,5,1.41628400339539,23,-1.08208374340638,20,0.850154260435511,2,0.259549495254163,5,0.182080960270961,68,Man,,Suburb,City,,3,"College, but not degree",White,NA,,"$40,000 to $49,999",91,90,49,91,1,1,1,4,1,1,1,5,5,5,5,5,5,3,4,3,1,2,4,4,3,4,3,3,4,4,4,4,3,3,2,2,2,2,3,3,2,2,2,2,1,1,0,1,1,1,0,1,1,0,17,9,11,14,16,16,5,6,5,5,6,-1
102,R_5f4z8pa5EqwllaV,P159,24/10/2025 14:55,1581,"Yes, I will",passed,passed,Other,Both Democrats and Republicans,Keep,Republican,,Strong,NA,4,0.53465724666085,Republican,2,35,98,45,95,0.326138824245022,0.437542739502647,0.236055438470067,1.09590243993197,96,22,-1.07057289873079,Yes,7,0.482476139550158,12,1.00142389080157,4,0.148858679035552,28,-0.551545810640504,11,-0.30200022490458,2,0.259549495254163,2,-0.418584642984532,68,Woman,,Rural area,City,,3,2-year college degree,White,NA,,"$60,000 to $69,999",93,70,20,97,3,2,5,4,3,2,3,3,4,1,3,4,3,4,1,1,4,4,4,3,3,3,4,2,2,4,3,4,2,1,2,3,3,1,3,4,2,0,1,1,1,0,0,0,1,1,0,0,0,0,12,6,8,10,11,11,4,4,3,3,4,-1
103,R_50Q6zPpJMgLbIw9,P119,24/10/2025 14:56,1142,"Yes, I will",passed,passed,Democrat,Republicans,Donate,Republican,,Strong,NA,5,1.39299888048935,Republican,2,0,100,100,100,1.55596326888443,2.31650595190557,0.967369645992113,-0.60131031182896,90,33,0.818198878470245,Yes,7,0.482476139550158,11,0.551311795086835,5,1.41628400339539,43,1.04006798765714,2,-1.45415471024467,1,-0.639819685975378,0,-0.819028378488194,62,Woman,,Small town,Small-town,,5,2-year college degree,White,NA,,"$70,000 to $79,999",100,100,79,100,2,2,1,5,1,1,1,4,4,5,5,5,5,4,2,1,3,4,4,1,1,4,1,1,1,1,1,2,1,0,0,4,4,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,9,11,13,26,9,8,9,9,8,1
104,R_35HkzTNxGoP6EAS,P73,24/10/2025 14:57,1086,"Yes, I will",passed,passed,Democrat,Both Democrats and Republicans,Keep,Republican,,Not very strong,NA,2,-1.18202602099615,Republican,1,80,80,51,51,-1.76788658149234,-1.39968707603147,0.967369645992113,-0.737693479381178,85,29,0.13137277766987,Yes,7,0.482476139550158,9,-0.348912396342627,5,1.41628400339539,49,1.6767135069762,1,-1.58217187528246,0,-1.53918886720492,0,-0.819028378488194,59,Woman,,City,Small-town,,2,4-year college degree,White,NA,,"$100,000 to $149,999",100,100,95,95,3,1,1,5,3,3,1,3,5,5,3,3,5,4,3,2,2,3,1,1,1,1,1,1,1,1,1,2,1,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,10,13,15,24,7,8,9,9,8,1
105,R_1j9CANYBtBx4UUh,P47,24/10/2025 14:57,1258,"Yes, I will",passed,passed,Republican,Both Democrats and Republicans,Keep,Republican,,Not very strong,NA,3,-0.32368438716765,Republican,1,84,86,51,51,-1.70140958448481,-1.34635736323945,0.651125664360958,-0.736456443847824,56,28,-0.0403337475302235,Yes,6,-0.58254526479019,10,0.101199699372104,5,1.41628400339539,40,0.721745227997611,10,-0.430017389942368,1,-0.639819685975378,2,-0.418584642984532,41,Man,,Suburb,Suburb,,2,4-year college degree,White,NA,,"$40,000 to $49,999",91,93,89,91,2,2,2,4,2,2,2,4,4,4,4,4,4,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,1,3,3,1,1,1,1,1,1,0,0,1,1,0,0,0,0,27,14,18,22,26,6,3,2,1,1,2,-1
106,R_57Ii500zJmPCmoZ,P126,24/10/2025 14:58,1253,"Yes, I will",passed,passed,Republican,Both Democrats and Republicans,Donate,Democrat,,Strong,NA,3,-0.32368438716765,Democrat,2,70,5,71,100,0.392615821252558,0.804100931060243,-0.0208927966052465,2.35489535400244,0,28,-0.0403337475302235,Yes,7,0.482476139550158,10,0.101199699372104,3,-1.11856664532429,25,-0.869868570300032,16,0.338085600284359,2,0.259549495254163,6,0.382302828022791,52,Woman,,City,Rural,,3,"College, but not degree",White,NA,,"Less than $10,000",100,50,100,0,2,1,1,3,2,2,3,4,5,5,4,4,3,4,3,1,2,4,4,3,4,4,2,4,3,4,2,5,1,2,2,2,2,1,3,2,1,2,2,2,1,2,0,0,0,2,2,1,0,1,14,7,9,11,13,26,9,8,9,8,9,-1
107,R_3FTiz7qnKVUD5dL,P82,24/10/2025 14:59,1195,"Yes, I will",passed,passed,Republican,Neither Democrats nor Republicans,Donate,Republican,,Strong,NA,4,0.53465724666085,Republican,2,61,88,67,92,-0.870447121890614,-0.514776609421329,0.0384029499505951,-0.588012179845411,73,24,-0.727159848330598,Yes,7,0.482476139550158,9,-0.348912396342627,4,0.148858679035552,48,1.57060592042302,10,-0.430017389942368,1,-0.639819685975378,0,-0.819028378488194,70,Man,,Suburb,Suburb,,3,Postgraduate degree,White,NA,,"$100,000 to $149,999",71,82,63,85,4,2,5,4,2,1,2,2,4,1,4,5,4,4,3,2,2,3,1,2,1,1,1,2,1,1,1,1,2,0,1,3,3,1,3,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,40,20,26,32,38,14,6,4,4,4,4,0
